fusion_method,dataset,snr_label,snr_db,vehicle_AP@0.3,vehicle_AP@0.5,vehicle_AP@0.7,pedestrian_AP@0.3,pedestrian_AP@0.5,pedestrian_AP@0.7,truck_AP@0.3,truck_AP@0.5,truck_AP@0.7,mAP_AP@0.3,mAP_AP@0.5,mAP_AP@0.7,avg_conf,,
early,LiDAR128,ego only,-998,0.39864331066423025,0.36479465111053966,0.28493291368477497,0.2982981199432386,0.12197525300714311,0.005724111,0.4598974358974398,0.41052454212454537,0.080911355,0.38561295550163627,0.29909814874740936,0.12385612665914679,,,
intermediate,LiDAR128,∞ (clean),-999,0.6005737145980753,0.5934185002146395,0.46081319405328813,0.41793520312868193,0.19730063589235267,0.008298552,0.7032008760581415,0.6947584524425866,0.2275524953540341,0.5739032645949663,0.49515919618319293,0.23222141373391736,0.6328431407388126,,
intermediate,LiDAR128,+30.0 dB,30,0.485449607,0.44908817068250756,0.22701208009035842,0.2687716367386145,0.083990888,0.001844425,0.507558382,0.3996822920380527,0.083542783,0.4205932087344588,0.31092045015687714,0.10413309610150161,0.6180713602102069,,
intermediate,LiDAR128,+20.0 dB,20,0.4825588329228526,0.42036959768916177,0.19346536301717548,0.24746505778871652,0.07658042,0.001549405,0.47515222,0.3228801244221005,0.07413619,0.40172537038619965,0.2732767141491626,0.089716986,0.6211929778258006,,
intermediate,LiDAR128,+10.0 dB,10,0.29102535224631915,0.18488700180373238,0.076342015,0.1331387749660456,0.035154683,0.000791508,0.21233560242224997,0.10235824759821702,0.023584266,0.21216657654487156,0.10746664429550794,0.033572596631300335,0.628175555,,
intermediate,LiDAR128,+0.0 dB,0,0.014142262601070545,0.004079046,0.002018022,0.002520125,0.000205036,2.5392120147575735e-06,0.001861441,0.001082304,5.635496111507684e-05,0.00617461,0.001788795,0.000692305,0.6911376343437031,,
intermediate,LiDAR128,ego only,-998,0.3795384832760431,0.36265222549949944,0.2678827997022206,0.3013266009215281,0.1133276644496182,0.003658784,0.5456704443847838,0.5084715832738851,0.16577912340714293,0.4088451761941183,0.32815049107433425,0.14577356895417318,,,
late,LiDAR128,∞ (clean),-999,0.5479467841144259,0.5385386246785803,0.3684949486671236,0.409175774,0.18449093697365673,0.010365598184714312,0.48008866755104307,0.4782635288855599,0.2442852843909751,0.47907040860293265,0.4004310301792657,0.2077152770809377,0.6319566144118799,,
late,LiDAR128,+30.0 dB,30,0.11596816100952305,0.075520738,0.018030162522381293,0.12375387819463717,0.032693825210805785,0.000676724,0.061385208687549396,0.038806929328635525,0.005564469,0.10036908263056987,0.049007164,0.008090452,0.7449598842338003,,
late,LiDAR128,+20.0 dB,20,0.11386433665846585,0.061713344,0.012050437572076064,0.11933953376120518,0.029621688032051393,0.000687998,0.057076728,0.021155125243552234,0.001556502,0.096760199,0.037496719,0.004764979,0.7425632993270248,,
late,LiDAR128,+10.0 dB,10,0.081088202,0.023149234445981628,0.007526584,0.086967161,0.015550082051287089,0.000348384,0.024525349929293234,0.003021363,0.000430428,0.064193571,0.013906893,0.002768465,0.7413962497282894,,
late,LiDAR128,+0.0 dB,0,0.02225043,0.011316210618449863,0.008611899,0.03386247,0.010316618403496266,0.000608576,0.002966127,0.000883973,0.000576307,0.019693009003260892,0.007505601,0.003265594,0.7302322977148796,,
late,LiDAR128,ego only,-998,0.46540797015251667,0.45183838615284705,0.3415974073716216,0.2857758025058986,0.12632216011161748,0.007219029,0.44381738165141915,0.4337163715744788,0.339691333,0.39833371810327817,0.33729230594631443,0.2295025898548935,,,
early,LiDARReal,∞ (clean),-999,0.5113974019537694,0.5048105095073034,0.37680395294656965,0.3621011899900997,0.18568128724565472,0.012335195,0.3809543697206683,0.3150037719606135,0.076261053,0.4181509872215125,0.3351651895711905,0.15513340008048757,0.6384647548170023,,
early,LiDARReal,+30.0 dB,30,0.047862924,0.046175519,0.029849533979510443,0.007378589,0.004694281,0.000275261,0.068494983,0.067783352,0.020244960116274743,0.041245498785848676,0.039551051,0.016789918,0.5582173387866375,,
early,LiDARReal,+20.0 dB,20,0.050947670884756976,0.047698847,0.028729661188948017,0.008024753,0.004447217,0.000261548,0.063090629,0.060869243773138765,0.017752717945848547,0.040687684,0.03767177,0.015581309146087066,0.5581452296775522,,
early,LiDARReal,+10.0 dB,10,0.029914742,0.028710504226275697,0.015977450627134227,0.006712091,0.002579284,0.000110247,0.055013521,0.05306058,0.017141861,0.030546784943281297,0.028116789458316124,0.01107652,0.5413863395785427,,
early,LiDARReal,+0.0 dB,0,5.6309520770906554e-05,1.578225322644786e-05,7.01433476731016e-06,0.000105824,9.010209920540552e-06,4.461947175899774e-08,0.050544309,0.050544309,0.030909445844897666,0.016902147666705853,0.016856367,0.010305501599712245,,,
early,LiDARReal,ego only,-998,0.3622970782402187,0.34670323637082157,0.2856112576535239,0.3014378167138388,0.13697064118429053,0.008564974,0.39065128180446596,0.3240287559489573,0.057191210009165085,0.3514620589195078,0.2692342111680231,0.11712248051826568,,,
intermediate,LiDARReal,∞ (clean),-999,0.6818382242088756,0.6754291970825129,0.5508798697712466,0.4451887237274007,0.2253569336669592,0.015591661374444092,0.6946059882538638,0.6847949558830094,0.4439060670752716,0.6072109787300467,0.5285270288774938,0.3367925327403207,0.6385842997066475,,
intermediate,LiDARReal,+30.0 dB,30,0.5121360016083394,0.39878850036050917,0.18994300795413666,0.271019239,0.098908918,0.004112074,0.4048319317332116,0.2937947092521546,0.10435915678361436,0.395995724,0.263830709,0.099471413,0.6469465571681814,,
intermediate,LiDARReal,+20.0 dB,20,0.48076317635824806,0.36542795672562917,0.164697797,0.24874718516295233,0.084735481,0.003413139,0.3807626575733115,0.2435896640721872,0.078138651,0.3700910063648373,0.23125103395997812,0.082083196,0.6490401995583083,,
